CharityIPCName,UEN,CharityStatus,IPCStatus,IPCValidFrom,IPCValidTill,PrimarySector,Classification,Activities,SectorAdmin,CharitySetup,RegistrationDate
Singapore Buddhist Lodge Welfare Foundation,S96SS0012C,Registered with IPC,Live,01/3/2024,31/10/2026,Social and Welfare,Community,"Financial assistance, bursaries & scholarships",Ministry of Social and Family Development,Society,17/1/1997
Singapore Buddhist Lodge Education Foundation,S96SS0013K,Registered with IPC,Live,01/9/2025,31/8/2028,Education,Foundations & Trusts,"Financial assistance, bursaries & scholarships",Ministry of Education,Society,17/1/1997
Singapore Buddhist Free Clinic,S69SS0009J,Registered with IPC,Live,01/10/2024,30/9/2027,Health,TCM Clinic,Direct Services,Ministry of Health,Society,24/10/1984
"Singapore Buddhist Federation, The",S64SS0008K,Registered,,,,Religious,Buddhism,"Financial assistance, bursaries & scholarships|Training & education","Ministry of Culture, Community and Youth",Society,02/4/1990
Singapore Buddhist Community Foundation,S90SS0034H,Deregistered,,,,Religious,Buddhism,,"Ministry of Culture, Community and Youth",Society,11/3/1994
"SINGAPORE BUDDHA SASANA SOCIETY, THE (SAKYA TENPHEL LING)",S65SS0016F,Registered,,,,Religious,Buddhism,"Direct Services|Public awareness, promotion & advisory","Ministry of Culture, Community and Youth",Society,15/6/1989
Singapore Brain and Spine Injury Foundation,T05SS0217C,Deregistered,Not Applicable,,31/8/2008,Health,Diseases/Illnesses Support Group,,Ministry of Health,Society,06/2/2006
Singapore Boxing Federation,S62SS0024D,Registered,,,,Sports,NSAs,,Sport Singapore,Society,11/3/2011
Singapore Bowling Federation,S66SS0011J,Registered with IPC,Live,19/9/2024,30/9/2027,Sports,NSAs,,Sport Singapore,Society,01/2/2011
SINGAPORE BOOK COUNCIL LIMITED,201805935W,Registered with IPC,Live,20/12/2025,19/12/2027,Arts and Heritage,Literary Arts,Training & education,"Ministry of Culture, Community and Youth",Company Limited by Guarantee,28/6/2018
SINGAPORE BIBLE COLLEGE LIMITED,201020904N,Registered,,,,Religious,Christianity,Training & education,"Ministry of Culture, Community and Youth",Company Limited by Guarantee,12/4/2011
SINGAPORE BIBLE COLLEGE,S91CC0796K,Registered,,,,Religious,Christianity,Training & education,"Ministry of Culture, Community and Youth",Others,25/3/1991
Singapore Bible Baptist Church,S71SS0017G,Registered,,,,Religious,Christianity,Direct Services,"Ministry of Culture, Community and Youth",Society,21/9/1985
SINGAPORE BASEBALL AND SOFTBALL ASSOCIATION,S60SS0022B,Registered with IPC,Live,12/3/2024,11/3/2027,Sports,NSAs,"Public awareness, promotion & advisory",Sport Singapore,Society,31/12/2010
Singapore Baptist Convention,S74SS0032H,Registered,,,,Religious,Christianity,"Direct Services|Financial assistance, bursaries & scholarships|Training & education","Ministry of Culture, Community and Youth",Society,17/10/1988
Singapore Baptist Church,S60SS0024E,Registered,,,,Religious,Christianity,Supports other Charities|Training & education,"Ministry of Culture, Community and Youth",Society,10/4/1986
SINGAPORE BALLET LIMITED,198702432N,Registered with IPC,Live,02/12/2025,01/12/2026,Arts and Heritage,"Professional, Contemporary & Ethnic Dance",Direct Services,"Ministry of Culture, Community and Youth",Company Limited by Guarantee,03/6/1988
Singapore Badminton Association,S61SS0032A,Registered with IPC,Live,07/4/2024,31/5/2027,Sports,NSAs,Training & education,Sport Singapore,Society,09/12/2008
Singapore Ayyappa Seva Sangham,S83SS0005A,Registered,,,,Religious,Hinduism,"Financial assistance, bursaries & scholarships","Ministry of Culture, Community and Youth",Society,30/9/1986
SINGAPORE ATHLETIC ASSOCIATION,S63SS0015L,Registered with IPC,Live,19/1/2026,31/1/2029,Sports,NSAs,"Public awareness, promotion & advisory|Training & education",Sport Singapore,Society,01/2/2011
Singapore Association of the Visually Handicapped,S61SS0119J,Registered with IPC,Live,01/1/2026,31/12/2026,Social and Welfare,Disability (Adult)|Disability (Children),"Direct Services|Public awareness, promotion & advisory|Financial assistance, bursaries & scholarships|Training & education",Ministry of Social and Family Development,Society,31/5/1984
SINGAPORE ASSOCIATION OF THE SOVEREIGN MILITARY HOSPITALLER ORDER OF ST. JOHN OF JERUSALEM,T04SS0228K,Registered,,,,Religious,Christianity,Direct Services,"Ministry of Culture, Community and Youth",Society,07/11/2008
Singapore Association for the Study of Obesity,T01SS0206D,Registered,,,,Health,Diseases/Illnesses Support Group,Training & education,Ministry of Health,Society,05/2/2007
"SINGAPORE ASSOCIATION FOR THE DEAF, THE",S62SS0061C,Registered with IPC,Live,01/7/2024,31/1/2027,Social and Welfare,Disability (Adult),"Direct Services|Research|Training & education|Public awareness, promotion & advisory",Ministry of Social and Family Development,Society,30/5/1984
Singapore Association for the Advancement of Science (SAAS),S67SS0013F,Registered,,,,Education,Others; training and support,"Public awareness, promotion & advisory",Ministry of Education,Society,15/7/1985
"Singapore Association for Mental Health, The",S68SS0038A,Registered with IPC,Live,01/1/2025,31/12/2027,Health,Diseases/Illnesses Support Group,Direct Services,Ministry of Health,Society,07/5/1984
"SINGAPORE ASSOCIATION FOR CONTINUING EDUCATION, THE",S79SS0040B,Registered,,,,Health,Active Ageing,Training & education,Ministry of Health,Society,11/3/1987
SINGAPORE ARTS SCHOOL LTD.,200500775C,Registered with IPC,Live,25/7/2024,24/7/2027,Arts and Heritage,Training & Education,"Financial assistance, bursaries & scholarships|Training & education","Ministry of Culture, Community and Youth",Company Limited by Guarantee,09/3/2005
"Singapore Arts Federation, The",S67SS0028B,Registered,,,,Arts and Heritage,Others; -,"Financial assistance, bursaries & scholarships","Ministry of Culture, Community and Youth",Society,22/3/1985
SINGAPORE ART SOCIETY,S61SS0099C,Registered,,,,Arts and Heritage,Visual Arts,,"Ministry of Culture, Community and Youth",Society,10/6/1985
SINGAPORE ART MUSEUM,201330746G,Registered with IPC,Live,12/12/2024,11/12/2027,Arts and Heritage,Visual Arts,Direct Services,"Ministry of Culture, Community and Youth",Company Limited by Guarantee,09/12/2013
Singapore Aquatics,S61SS0088B,Registered with IPC,Live,01/7/2024,31/7/2027,Sports,NSAs,,Sport Singapore,Society,30/11/2010
Singapore Anti-Narcotics Association,S72SS0018H,Registered with IPC,Live,01/6/2025,31/3/2028,Social and Welfare,Children/Youth|Community|Family|Support Groups,Direct Services,Ministry of Social and Family Development,Society,10/4/1984
Singapore Anglican Community Services,S75SS0005H,Registered with IPC,Live,01/1/2025,31/12/2027,Social and Welfare,Community|Disability (Adult)|Eldercare|Family,Direct Services,Ministry of Social and Family Development,Society,28/9/1984
SINGAPORE AMOY ASSOCIATION SCHOLARSHIP AND BURSARY FUND,S39SS0016F,Deregistered,,,,Education,,,Ministry of Education,,05/4/1987
SINGAPORE AMERICAN SCHOOL LIMITED,196400340R,Registered,,,,Education,Foreign Educational Institutions/Funds,Training & education,Ministry of Education,Company Limited by Guarantee,03/12/1987
"Singapore American Community Action Council, The",S73SS0043D,Registered,Not Applicable,,31/12/2010,Others,General Charitable Purposes,Direct Services,"Ministry of Culture, Community and Youth",Society,23/2/1985
SINGAPORE AIRLINES FOUNDATION LTD.,202425304H,Registered,,,,Others,General Charitable Purposes,"Financial assistance, bursaries & scholarships|Research|Supports other Charities|Training & education","Ministry of Culture, Community and Youth",Company Limited by Guarantee,24/10/2025
Singapore After-Care Association,S61SS0083L,Registered with IPC,Live,01/3/2026,31/10/2028,Social and Welfare,Children/Youth|Community,"Direct Services|Public awareness, promotion & advisory|Training & education|Research",Ministry of Social and Family Development,Society,24/10/1984
Singapore Action Group Of Elders (SAGE),S77SS0036G,Deregistered,Not Applicable,,30/9/2006,Social and Welfare,Eldercare,,Ministry of Social and Family Development,Society,09/9/1983
Sing Man Temple (Singapore),T08SS0124L,Registered,,,,Religious,Buddhism,Direct Services,"Ministry of Culture, Community and Youth",Society,16/12/2008
SING LIT STATION LIMITED,201615577D,Registered with IPC,Live,15/6/2025,14/12/2026,Arts and Heritage,Literary Arts,"Direct Services|Public awareness, promotion & advisory|Training & education","Ministry of Culture, Community and Youth",Company Limited by Guarantee,02/11/2016
SIM University Education Fund,T07CC2050L,Deregistered,Terminated,,,Education,Local Educational Institutions/Funds,Training & education,Ministry of Education,Others,14/9/2007
SIM Trust,T24CC0005H,Registered with IPC,Live,03/9/2024,02/9/2026,Education,Foundations & Trusts|Local Educational Institutions/Funds,"Financial assistance, bursaries & scholarships|Research|Supports other Charities|Training & education",Ministry of Education,Others,22/8/2024
SIM PEOPLE DEVELOPMENT FUND LIMITED,202034234Z,Registered with IPC,Live,10/3/2026,09/3/2029,Education,Local Educational Institutions/Funds,"Financial assistance, bursaries & scholarships|Supports other Charities|Training & education|Research",Ministry of Education,Company Limited by Guarantee,10/3/2021
SIM EAST ASIA LTD,198002683M,Registered,,,,Religious,Christianity,,"Ministry of Culture, Community and Youth",Company Limited by Guarantee,17/3/1987
Silver Ribbon (Singapore),T05SS0315B,Registered with IPC,Live,12/5/2024,11/5/2027,Health,Others; -,"Direct Services|Public awareness, promotion & advisory|Training & education",Ministry of Health,Society,14/6/2006
SILKSTREAMASIA LTD.,200403038G,Deregistered,,,,Religious,Christianity,,"Ministry of Culture, Community and Youth",Company Limited by Guarantee,13/10/2005
Silat Road Sikh Temple,T24CC0003E,Exempt Charity,,,,Religious,Others; Sikhism,,"Ministry of Culture, Community and Youth",Others,
SIKH WELFARE COUNCIL,S98SS0018L,Registered with IPC,Live,01/2/2025,31/1/2027,Social and Welfare,Community,"Direct Services|Public awareness, promotion & advisory|Financial assistance, bursaries & scholarships",Ministry of Social and Family Development,Society,05/11/2009
SIKH TEMPLE JALAN KAYU,,Deregistered,,,,Others,,,"Ministry of Culture, Community and Youth",,24/11/1993
Sikh Sewaks Singapore,S79SS0030H,Registered,,,,Religious,Others; Sikhism,,"Ministry of Culture, Community and Youth",Society,15/5/1996
Sikh Missionary Society of Malaya,S40SS0008F,Registered,,,,Religious,Others; -,,"Ministry of Culture, Community and Youth",Society,09/11/1989
Sikh Centre,T24CC0002J,Exempt Charity,,,,Religious,Others; Sikhism,,"Ministry of Culture, Community and Youth",Others,
SIGLAP CCC COMMUNITY DEVELOPMENT AND WELFARE FUND,T07CC2013A,Registered with IPC,Live,01/1/2024,31/12/2026,Community,South East,"Financial assistance, bursaries & scholarships",People's Association,Others,25/4/2007
SIFAS PRODUCTIONS LIMITED,202112170G,Registered with IPC,Live,28/11/2025,27/1/2027,Arts and Heritage,Traditional Ethnic Performing Arts,"Direct Services|Research|Financial assistance, bursaries & scholarships|Supports other Charities|Grantmaking|Training & education|Public awareness, promotion & advisory","Ministry of Culture, Community and Youth",Company Limited by Guarantee,26/12/2023
SIF GLOBAL ASSISTANCE FUND,T04CC1765D,Deregistered,Not Applicable,,30/4/2007,Others,General Charitable Purposes,,"Ministry of Culture, Community and Youth",Others,28/2/2004
Siddhartha Centre,S94SS0113B,Registered,,,,Religious,Buddhism,"Financial assistance, bursaries & scholarships","Ministry of Culture, Community and Youth",Society,26/12/1986
Siang San Temple Association,S93SS0096A,Registered,,,,Religious,Taoism,,"Ministry of Culture, Community and Youth",Society,11/4/1996
SIANG CHO KEONG TEMPLE,S89CC0623L,Registered,,,,Religious,Buddhism,,"Ministry of Culture, Community and Youth",Others,27/2/1989
SIAN TECK TNG VEGETARIAN CONVENT,S91CC0783F,Registered,,,,Religious,Buddhism,,"Ministry of Culture, Community and Youth",Others,18/1/1991
Sian Keng Tong Temple,S87SS0002L,Registered,,,,Religious,Taoism,,"Ministry of Culture, Community and Youth",Society,07/7/1995
SIAN HENG TNG TEMPLE,S88CC0558K,Registered,,,,Religious,Buddhism,,"Ministry of Culture, Community and Youth",Others,15/2/1988
Sian Chay Medical Institution,S62SS0055D,Registered with IPC,Live,01/7/2023,30/6/2026,Health,TCM Clinic,Direct Services,Ministry of Health,Society,19/3/1984
Si Dao Feng Jiao Temple,S96SS0009C,Registered,,,,Religious,Taoism,Direct Services,"Ministry of Culture, Community and Youth",Society,13/11/2002
SHUI GOU GUAN TEMPLE,S94SS0019J,Registered,,,,Religious,Taoism,,"Ministry of Culture, Community and Youth",Society,01/8/1994
SHS VENTURES LTD.,202235024C,Registered,,,,Arts and Heritage,Historical & Cultural Conservation,"Public awareness, promotion & advisory|Training & education","Ministry of Culture, Community and Youth",Company Limited by Guarantee,20/10/2023
SHRIMAD RAJCHANDRA MISSION DHARAMPUR (SINGAPORE) LTD.,201721347M,Registered,,,,Religious,Others; Jainism,Direct Services|Supports other Charities,"Ministry of Culture, Community and Youth",Company Limited by Guarantee,15/1/2018
Shri Ram Chandra Mission,S97SS0008A,Deregistered,,,,Others,General Charitable Purposes,,"Ministry of Culture, Community and Youth",Society,07/10/2010
SHREE LAKSHMINARAYAN TEMPLE,S67SS0019D,Registered,,,,Religious,Hinduism,"Direct Services|Financial assistance, bursaries & scholarships","Ministry of Culture, Community and Youth",Society,01/8/1985
SHIV MANDIR SHREE SHREE,,Deregistered,,,,Others,,,"Ministry of Culture, Community and Youth",,29/10/1987
SHIRIN FOZDAR TRUST FUND,S93CC0961G,Deregistered,,,,Social and Welfare,,,Ministry of Social and Family Development,Others,28/5/1993
SHIRDI SAI WORSHIP CENTRE LTD.,200820782H,Registered,,,,Religious,Hinduism,Grantmaking|Training & education,"Ministry of Culture, Community and Youth",Company Limited by Guarantee,29/6/2012
Shinnyo-En Singapore,S90SS0013B,Registered,,,,Religious,Buddhism,,"Ministry of Culture, Community and Youth",Society,19/10/1990
Shine Community Services Centre,S99SS0103L,Deregistered,,,,Social and Welfare,,,Ministry of Social and Family Development,Society,23/10/2002
SHINE Children and Youth Services,S76SS0021F,Registered with IPC,Live,01/4/2023,31/7/2026,Social and Welfare,Children/Youth,"Direct Services|Financial assistance, bursaries & scholarships|Training & education|Research",Ministry of Social and Family Development,Society,01/12/1983
Shin Sen Keng Temple,S93SS0115L,Registered,,,,Religious,Taoism,,"Ministry of Culture, Community and Youth",Society,25/4/1996
SHIN MIN CHARITIES,,Deregistered,,,,Others,,,"Ministry of Culture, Community and Youth",,27/5/1987
Shi Zhu Chinese Temple,S94SS0082F,Registered,,,,Religious,Taoism,,"Ministry of Culture, Community and Youth",Society,23/8/1996
Shi Niu Dong Temple,T03SS0018G,Registered,,,,Religious,Taoism,,"Ministry of Culture, Community and Youth",Society,01/12/2016
Shi Cheng Lei Zang Si,,Deregistered,,,,Others,,,"Ministry of Culture, Community and Youth",,25/9/2001
Shepherd's Assembly,S89SS0074D,Registered,,,,Religious,Christianity,Training & education,"Ministry of Culture, Community and Youth",Society,31/8/1990
SHENTON CHARITABLE COMPANY LIMITED,200209965N,Deregistered,,,,Social and Welfare,Community,Supports other Charities,Ministry of Social and Family Development,Company Limited by Guarantee,15/1/2003
SHENG-TU EVANGELISTIC MISSION (SINGAPORE),S56SS0024K,Registered,,,,Religious,Christianity,"Public awareness, promotion & advisory|Training & education","Ministry of Culture, Community and Youth",Society,28/6/1997
Sheng Jia Temple Association,T02SS0109F,Registered,,,,Religious,Taoism,"Public awareness, promotion & advisory|Supports other Charities","Ministry of Culture, Community and Youth",Society,04/12/2008
Sheng Hong Temple,S76SS0006J,Registered,,,,Religious,Buddhism|Taoism,"Direct Services|Financial assistance, bursaries & scholarships|Supports other Charities","Ministry of Culture, Community and Youth",Society,31/1/1986
